neg,neu,pos,compound
0.0,0.695,0.305,0.9441
0.138,0.862,0.0,-0.5664
0.091,0.754,0.155,0.8265
0.0,1.0,0.0,0.0
0.0,0.552,0.448,0.9468
0.029,0.809,0.163,0.883
0.034,0.693,0.273,0.9346
0.0,0.52,0.48,0.9487
0.0,0.851,0.149,0.6369
0.0,0.705,0.295,0.8313
0.017,0.846,0.137,0.9746
0.113,0.887,0.0,-0.7579
0.031,0.923,0.046,0.296
0.0,0.355,0.645,0.9466
0.104,0.632,0.264,0.6486
0.0,0.861,0.139,0.5719
0.097,0.694,0.209,0.7481
0.0,0.61,0.39,0.8883
0.012,0.885,0.103,0.8957
0.0,0.863,0.137,0.6077
0.0,0.865,0.135,0.6249
0.0,0.739,0.261,0.9153
0.0,0.768,0.232,0.7687
0.085,0.771,0.143,0.2617
0.038,0.895,0.068,0.3939
0.0,1.0,0.0,0.0
0.128,0.872,0.0,-0.296
0.04,0.808,0.152,0.5956
0.022,0.669,0.309,0.9913
0.017,0.846,0.137,0.9746
0.041,0.692,0.267,0.9713
0.0,0.484,0.516,0.9153
0.069,0.839,0.092,0.7103
0.024,0.72,0.256,0.9779
0.0,0.874,0.126,0.9091
0.024,0.821,0.155,0.7622
0.0,0.754,0.246,0.9196
0.0,0.938,0.062,0.4457
0.05,0.846,0.104,0.7638
0.0,0.856,0.144,0.8114
0.033,0.82,0.147,0.9301
0.03,0.848,0.122,0.9435
0.0,0.588,0.412,0.9441
0.0,0.685,0.315,0.9161
0.031,0.778,0.191,0.8421
0.0,1.0,0.0,0.0
0.0,0.737,0.263,0.9169
0.0,0.868,0.132,0.4404
0.0,0.821,0.179,0.747
0.056,0.865,0.079,0.2363
0.22,0.78,0.0,-0.5448
0.047,0.735,0.218,0.9194
0.09,0.858,0.052,-0.8259
0.075,0.925,0.0,-0.3612
0.0,0.857,0.143,0.8761
0.071,0.708,0.221,0.8908
0.029,0.694,0.277,0.908
0.0,0.701,0.299,0.91
0.0,0.611,0.389,0.9323
0.0,0.638,0.362,0.8807
0.0,0.9,0.1,0.4404
0.0,0.741,0.259,0.8442
0.0,1.0,0.0,0.0
0.055,0.765,0.179,0.9817
0.046,0.75,0.205,0.8674
0.04,0.822,0.138,0.5165
0.057,0.869,0.073,0.492
0.183,0.776,0.041,-0.9116
0.135,0.71,0.155,-0.0096
0.344,0.52,0.136,-0.7345
0.036,0.916,0.048,0.2228
0.078,0.701,0.222,0.9733
0.025,0.653,0.323,0.9787
0.093,0.762,0.144,0.9665
0.0,0.872,0.128,0.2263
0.106,0.768,0.126,0.1098
0.019,0.898,0.083,0.5647
0.034,0.798,0.168,0.8303
0.0,0.763,0.237,0.7814
0.087,0.589,0.324,0.8636
0.0,0.723,0.277,0.9098
0.0,0.663,0.337,0.9041
0.04,0.794,0.165,0.9957
0.055,0.767,0.178,0.8642
0.109,0.676,0.214,0.8431
0.035,0.698,0.267,0.9487
0.019,0.855,0.126,0.8797
0.05,0.735,0.215,0.7424
0.048,0.762,0.19,0.9716
0.029,0.645,0.326,0.9554
0.0,0.833,0.167,0.7351
0.0,0.837,0.163,0.6249
0.069,0.663,0.268,0.8255
0.01,0.781,0.208,0.9882
0.0,1.0,0.0,0.0
0.031,0.732,0.237,0.9273
0.0,0.818,0.182,0.982
0.053,0.793,0.154,0.7729
0.024,0.91,0.066,0.5106
0.173,0.735,0.092,-0.5267
0.0,0.807,0.193,0.7717
0.103,0.752,0.145,0.2285
0.0,0.75,0.25,0.9287
0.0,0.859,0.141,0.7249
0.051,0.577,0.372,0.9313
0.0,0.696,0.304,0.9603
0.0,0.791,0.209,0.5719
0.0,0.804,0.196,0.9503
0.059,0.676,0.265,0.9116
0.014,0.764,0.222,0.9841
0.059,0.879,0.062,0.0176
0.0,0.81,0.19,0.8769
0.037,0.786,0.177,0.9946
0.0,0.631,0.369,0.8779
0.027,0.727,0.245,0.9379
0.0,0.645,0.355,0.872
0.0,0.892,0.108,0.6573
0.0,0.781,0.219,0.9751
0.05,0.872,0.079,0.8972
0.013,0.785,0.203,0.9828
0.026,0.759,0.215,0.9509
0.102,0.822,0.076,-0.3626
0.025,0.803,0.172,0.9022
0.017,0.795,0.188,0.9769
0.079,0.67,0.252,0.9678
0.035,0.87,0.095,0.5709
0.0,0.721,0.279,0.9258
0.067,0.633,0.299,0.9022
0.043,0.728,0.229,0.8142
0.114,0.676,0.21,0.6721
0.0,0.755,0.245,0.8658
0.135,0.76,0.105,-0.3612
0.046,0.772,0.181,0.7902
0.02,0.878,0.103,0.8082
0.0,0.877,0.123,0.4215
0.0,0.9,0.1,0.6503
0.0,0.695,0.305,0.9661
0.0,0.689,0.311,0.8591
0.15,0.773,0.077,-0.4199
0.043,0.833,0.125,0.835
0.098,0.787,0.114,0.2023
0.0,0.782,0.218,0.7814
0.0,0.763,0.237,0.9296
0.059,0.667,0.274,0.9653
0.058,0.841,0.102,0.6124
0.144,0.677,0.178,0.6341
0.087,0.783,0.13,0.7567
0.058,0.867,0.075,0.1533
0.04,0.833,0.127,0.6956
0.0,0.709,0.291,0.9231
0.0,0.564,0.436,0.9858
0.0,0.784,0.216,0.765
0.0,0.775,0.225,0.7269
0.12,0.76,0.12,0.2502
0.0,0.647,0.353,0.9803
0.0,0.768,0.232,0.9681
0.191,0.809,0.0,-0.7269
0.071,0.514,0.415,0.8934
0.065,0.893,0.042,-0.4721
0.081,0.779,0.14,0.4194
0.0,0.644,0.356,0.9117
0.106,0.894,0.0,-0.5504
0.072,0.652,0.276,0.9517
0.047,0.869,0.085,0.4199
0.025,0.752,0.223,0.8957
0.032,0.717,0.251,0.9597
0.0,0.657,0.343,0.9098
0.05,0.905,0.045,-0.1154
0.186,0.74,0.074,-0.5283
0.141,0.832,0.028,-0.7721
0.0,0.854,0.146,0.6476
0.04,0.844,0.116,0.6808
0.0,0.763,0.237,0.8906
0.022,0.788,0.189,0.9901
0.04,0.722,0.237,0.9782
0.0,0.874,0.126,0.7579
0.0,0.938,0.062,0.4215
0.058,0.794,0.148,0.6249
0.2,0.63,0.171,0.1203
0.048,0.829,0.122,0.7458
0.076,0.767,0.156,0.6085
0.0,0.433,0.567,0.9667
0.088,0.743,0.169,0.943
0.0,0.857,0.143,0.9577
0.11,0.593,0.297,0.6597
0.189,0.811,0.0,-0.5994
0.016,0.842,0.142,0.9944
0.0,0.824,0.176,0.6983
0.0,0.843,0.157,0.8868
0.0,0.934,0.066,0.3506
0.148,0.64,0.212,0.4926
0.0,0.75,0.25,0.9062
0.055,0.728,0.217,0.8756
0.031,0.735,0.234,0.9595
0.082,0.483,0.435,0.8299
0.0,0.761,0.239,0.9538
0.0,0.917,0.083,0.4738
0.0,0.904,0.096,0.4153
0.0,0.701,0.299,0.8268
0.0,0.811,0.189,0.7178
0.039,0.888,0.072,0.6381
0.064,0.597,0.339,0.9531
0.0,0.688,0.312,0.8225
0.061,0.814,0.125,0.8728
0.0,0.882,0.118,0.6249
